"","state","year","SuicideMean","PovertyPercentage","mentalHealthMean","SZscore","PZscore","MZscore"
"86","Indiana",2012,14.3,15.2,4.3,-0.115832778915657,0.442757529566842,1.01597608996862
"87","Indiana",2013,14.3,11.6,4,-0.115832778915657,-0.605473062676514,0.440611468999347
"88","Indiana",2014,14.3,14.6,4.2,-0.115832778915657,0.268052430859616,0.824187882978863
"89","Indiana",2015,14.4,13.5,4.1,-0.0924213982365347,-0.0522402501036314,0.632399675989104
"90","Indiana",2016,15.4,11.8,4.2,0.141692408554687,-0.547238029774105,0.824187882978863
"91","Iowa",2011,13.9,10.4,3.1,-0.209478301632146,-0.954883260090966,-1.28548239390848
"92","Iowa",2012,12.7,10.3,3.1,-0.490414869781612,-0.984000776542171,-1.28548239390848
"93","Iowa",2013,14.4,10.8,3,-0.0924213982365347,-0.838413194286149,-1.47727060089824
"94","Iowa",2014,12.9,10.3,3.1,-0.443592108423367,-0.984000776542171,-1.28548239390848
"95","Iowa",2015,13.9,10.4,3.3,-0.209478301632146,-0.954883260090966,-0.901905979928961
"96","Iowa",2016,14.6,9.8,3.3,-0.0455986368782905,-1.12958835879819,-0.901905979928961
"97","Kansas",2011,13.8,14.3,3.3,-0.232889682311268,0.180699881506004,-0.901905979928961
"98","Kansas",2012,17.4,14,3.3,0.60992002213713,0.0933473321523904,-0.901905979928961
"99","Kansas",2013,14.7,13.2,3.2,-0.0221872561991684,-0.139592799457245,-1.09369418691872
"100","Kansas",2014,15.7,12.1,3,0.211926550592053,-0.459885480420493,-1.47727060089824
"101","Kansas",2015,16.3,14.2,3.2,0.352394834666787,0.151582365054799,-1.09369418691872
"102","Kansas",2016,17.9,11.2,3.3,0.726976925532741,-0.721943128481332,-0.901905979928961
"103","Kentucky",2011,15.2,16,4.8,0.0948696471964425,0.675697661176478,1.97491712491741
"104","Kentucky",2012,16.2,17.9,5,0.328983453987664,1.22893047374936,2.35849353889693
"105","Kentucky",2013,15.6,20,4.6,0.188515169912931,1.84039831922465,1.5913407109379
"106","Kentucky",2014,16,20,4.6,0.28216069262942,1.84039831922465,1.5913407109379
"107","Kentucky",2015,17.1,19.5,4.4,0.539685880099764,1.69481073696863,1.20776429695838
"108","Kentucky",2016,16.8,15.2,4.7,0.469451738062398,0.442757529566842,1.78312891792765
"109","Louisiana",2011,12.5,21.1,4.4,-0.537237631139856,2.1606910001879,1.20776429695838
"110","Louisiana",2012,12.4,21.1,4.1,-0.560649011818978,2.1606910001879,0.632399675989104
"111","Louisiana",2013,12.4,19.2,4.2,-0.560649011818978,1.60745818761502,0.824187882978863
"112","Louisiana",2014,14.3,23.1,4,-0.115832778915657,2.74304132921199,0.440611468999347
"113","Louisiana",2015,15.2,18.6,4.3,0.0948696471964425,1.43275308890779,1.01597608996862
"114","Louisiana",2016,14.2,20.2,4.2,-0.139244159594779,1.89863335212706,0.824187882978863
"115","Maine",2011,16.6,13.4,4.2,0.422628976704153,-0.0813577665548357,0.824187882978863
"116","Maine",2012,14.5,12.8,4.2,-0.0690100175574126,-0.256062865262062,0.824187882978863
"117","Maine",2013,17.4,12.3,4,0.60992002213713,-0.401650447518083,0.440611468999347
"118","Maine",2014,15.7,14.6,3.9,0.211926550592053,0.268052430859616,0.248823262009588
"119","Maine",2015,16,12.3,4,0.28216069262942,-0.401650447518083,0.440611468999347
"120","Maine",2016,15.9,12.7,4.4,0.258749311950298,-0.285180381713266,1.20776429695838
"121","Maryland",2011,9.2,9.3,3.7,-1.30981319355089,-1.27517594105421,-0.134753151969928
"122","Maryland",2012,9.5,9.9,3.5,-1.23957905151352,-1.10047084234699,-0.518329565949444
"123","Maryland",2013,9.2,10.3,3.3,-1.30981319355089,-0.984000776542171,-0.901905979928961
"124","Maryland",2014,9.8,9.8,3.4,-1.16934490947615,-1.12958835879819,-0.710117772939203
"125","Maryland",2015,8.8,9.6,3.4,-1.40345871626738,-1.1878233917006,-0.710117772939203
"126","Maryland",2016,9.4,7.1,3.4,-1.26299043219264,-1.91576130298071,-0.710117772939203
"127","Massachusetts",2011,8.4,10.6,3.6,-1.49710423898387,-0.896648227188558,-0.326541358959686
"128","Massachusetts",2012,8.7,11.3,3.8,-1.4268700969465,-0.692825612030127,0.0570350550198299
"129","Massachusetts",2013,8.2,11.9,3.8,-1.54392700034211,-0.518120513322901,0.0570350550198299
"130","Massachusetts",2014,8.2,13.6,3.9,-1.54392700034211,-0.0231227336524272,0.248823262009588
"131","Massachusetts",2015,8.9,11.5,3.9,-1.38004733558825,-0.634590579127719,0.248823262009588
"132","Massachusetts",2016,8.8,9.6,3.9,-1.40345871626738,-1.1878233917006,0.248823262009588
"133","Michigan",2011,12.2,15,4.3,-0.607471773177223,0.384522496664434,1.01597608996862
"134","Michigan",2012,12.5,13.7,4.2,-0.537237631139856,0.00599478279877709,0.824187882978863
"135","Michigan",2013,12.9,14.5,4,-0.443592108423367,0.238934914408412,0.440611468999347
"136","Michigan",2014,13.3,14.8,4.2,-0.349946585706879,0.326287463762025,0.824187882978863
"137","Michigan",2015,13.8,12.8,3.9,-0.232889682311268,-0.256062865262062,0.248823262009588
"138","Michigan",2016,13.3,11.1,4.4,-0.349946585706879,-0.751060644932536,1.20776429695838
"139","Minnesota",2011,12.5,10,3.1,-0.537237631139856,-1.07135332589578,-1.28548239390848
"140","Minnesota",2012,12,10,3.1,-0.654294534535467,-1.07135332589578,-1.28548239390848
"141","Minnesota",2013,12.1,12,2.9,-0.630883153856345,-0.489002996871697,-1.66905880788799
